"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"ABT","Abbott Laboratories","Common stocks","Large cap","Health Care","$215,938,403,594","1.48%","USA","Analyze"
"ACN","Accenture Plc Class A","Common stocks","Large cap","Information Technology","$214,595,596,344","1.14%","USA","Analyze"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$214,130,755,978","0.00%","USA","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Large cap","Communication Services","$213,249,442,030","6.16%","USA","Analyze"
"CMCSA","Comcast A Corp","Common stocks","Large cap","Communication Services","$212,210,798,915","2.12%","USA","Analyze"
"DHR","Danaher Corp","Common stocks","Large cap","Health Care","$209,018,872,103","0.29%","USA","Analyze"
"NKE","Nike Inc Class B","Common stocks","Large cap","Consumer Discretionary","$206,024,491,300","0.88%","USA","Analyze"
"MRK","Merck & Co Inc","Common stocks","Large cap","Health Care","$199,827,424,777","3.34%","USA","Analyze"
"WFC","Wells Fargo","Common stocks","Large cap","Financials","$195,477,686,172","1.45%","USA","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Large cap","Information Technology","$193,216,400,000","2.93%","USA","Analyze"
"UPS","United Parcel Service Inc Class B","Common stocks","Large cap","Industrials","$189,977,832,000","2.07%","USA","Analyze"
"MCD","Mcdonalds Corp","Common stocks","Large cap","Consumer Discretionary","$177,657,260,825","2.22%","USA","Analyze"
"QCOM","Qualcomm Inc","Common stocks","Large cap","Information Technology","$173,251,305,267","1.80%","USA","Analyze"
"MS","Morgan Stanley","Common stocks","Large cap","Financials","$170,146,141,478","2.56%","USA","Analyze"
"SCHW","Charles Schwab Corporation","Common stocks","Large cap","Financials","$169,117,194,240","0.82%","USA","Analyze"
"NFLX","Netflix Inc","Common stocks","Large cap","Communication Services","$168,147,180,045","0.00%","USA","Analyze"
"UNP","Union Pacific Corp","Common stocks","Large cap","Industrials","$166,434,435,443","1.71%","USA","Analyze"
"TXN","Texas Instrument Inc","Common stocks","Large cap","Information Technology","$166,210,245,314","2.39%","USA","Analyze"
"T","AT&T Inc.","Common stocks","Large cap","Communication Services","$165,857,969,446","8.74%","USA","Analyze"
"NEE","Nextera Energy Inc","Common stocks","Large cap","Utilities","$161,368,591,946","1.90%","USA","Analyze"
"TMUS","T Mobile US Inc","Common stocks","Large cap","Communication Services","$158,884,696,350","0.00%","USA","Analyze"
"LOW","Lowes Companies Inc","Common stocks","Large cap","Consumer Discretionary","$158,782,000,032","1.27%","USA","Analyze"
"BMY","Bristol Myers Squibb","Common stocks","Large cap","Health Care","$154,803,204,476","2.80%","USA","Analyze"
"MDT","Medtronic Plc","Common stocks","Large cap","Health Care","$147,810,786,632","2.22%","USA","Analyze"
"PM","Philip Morris International Inc","Common stocks","Large cap","Consumer Staples","$145,528,832,016","3.89%","USA","Analyze"
"RTX","Raytheon Technologies Corporation","Common stocks","Large cap","Industrials","$145,330,972,125","2.07%","USA","Analyze"
"AXP","American Express","Common stocks","Large cap","Financials","$144,824,184,456","0.90%","USA","Analyze"
"CVS","CVS Health Corp","Common stocks","Large cap","Health Care","$140,832,368,710","1.89%","USA","Analyze"
"PYPL","Paypal Holdings Inc","Common stocks","Large cap","Information Technology","$138,367,633,517","0.00%","USA","Analyze"
"AMD","Advanced Micro Devices Inc","Common stocks","Large cap","Information Technology","$136,072,966,260","0.00%","USA","Analyze"
"HON","Honeywell International Inc","Common stocks","Large cap","Industrials","$133,476,997,403","1.95%","USA","Analyze"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$133,071,569,348","3.02%","USA","Analyze"
"INTU","Intuit Inc","Common stocks","Large cap","Information Technology","$131,505,970,311","0.53%","USA","Analyze"
"COP","ConocoPhillips","Common stocks","Large cap","Energy","$129,432,880,834","1.77%","USA","Analyze"
"DE","Deere & Company","Common stocks","Large cap","Industrials","$126,747,944,700","0.94%","USA","Analyze"
"ANTM","Anthem Inc","Common stocks","Large cap","Health Care","$121,065,445,142","0.97%","USA","Analyze"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$119,381,951,514","0.89%","USA","Analyze"
"PLD","Prologis, Inc","REITs","Large cap","Real Estate","$118,518,400,000","1.66%","USA","Analyze"
"CAT","Caterpillar Inc","Common stocks","Large cap","Industrials","$118,383,029,346","1.96%","USA","Analyze"
"NOW","Servicenow Inc","Common stocks","Large cap","Information Technology","$115,976,000,000","0.00%","USA","Analyze"
"IBM","International Business Machines Co","Common stocks","Large cap","Information Technology","$115,795,153,797","5.00%","USA","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Large cap","Financials","$115,630,799,432","2.08%","USA","Analyze"
"BA","Boeing","Common stocks","Large cap","Industrials","$113,843,909,276","0.00%","USA","Analyze"
"C","Citigroup Inc","Common stocks","Large cap","Financials","$113,604,306,056","3.52%","USA","Analyze"
"LMT","Lockheed Martin Corp","Common stocks","Large cap","Industrials","$113,591,502,312","2.51%","USA","Analyze"
"BLK","Blackrock Inc","Common stocks","Large cap","Financials","$112,296,996,955","2.32%","USA","Analyze"
"AMT","American Tower Corporation","REITs","Large cap","Real Estate","$110,565,741,999","2.13%","USA","Analyze"
"CHTR","Charter Communications Inc Class A","Common stocks","Large cap","Communication Services","$110,552,554,595","0.00%","USA","Analyze"
"GE","General Electric","Common stocks","Large cap","Industrials","$105,084,178,700","0.33%","USA","Analyze"
"TGT","Target Corp","Common stocks","Large cap","Consumer Discretionary","$104,529,605,854","1.49%","USA","Analyze"
"ISRG","Intuitive Surgical Inc","Common stocks","Large cap","Health Care","$104,206,014,162","0.00%","USA","Analyze"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$103,066,880,000","2.08%","USA","Analyze"
"SYK","Stryker Corp","Common stocks","Large cap","Health Care","$100,932,796,355","0.96%","USA","Analyze"
"EL","Estee Lauder Inc Class A","Common stocks","Large cap","Consumer Staples","$100,118,132,305","0.81%","USA","Analyze"
"SPGI","S&P Global Inc","Common stocks","Large cap","Financials","$98,795,540,000","0.75%","USA","Analyze"
"MO","Altria Group Inc","Common stocks","Large cap","Consumer Staples","$93,915,858,401","6.63%","USA","Analyze"
"ZTS","Zoetis Inc","Common stocks","Large cap","Health Care","$92,459,036,622","0.55%","USA","Analyze"
"ADP","Automatic Data Processing Inc","Common stocks","Large cap","Information Technology","$90,179,517,943","1.82%","USA","Analyze"
"CB","Chubb Ltd","Common stocks","Large cap","Financials","$90,151,749,514","1.50%","USA","Analyze"
"BKNG","Booking Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$89,777,507,890","0.00%","USA","Analyze"
"CME","CME Group Inc Class A","Common stocks","Large cap","Financials","$89,711,096,966","1.47%","USA","Analyze"
"MU","Micron Technology Inc","Common stocks","Large cap","Information Technology","$88,921,500,305","0.25%","USA","Analyze"
"MDLZ","Mondelez International Inc","Common stocks","Large cap","Consumer Staples","$85,804,735,839","2.15%","USA","Analyze"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$85,535,857,999","1.72%","USA","Analyze"
"MMM","3M","Common stocks","Large cap","Industrials","$84,705,552,000","3.95%","USA","Analyze"
"BX","Blackstone Group Inc. Class A","Common stocks","Large cap","Financials","$84,382,202,227","3.27%","USA","Analyze"
"USB","US Bancorp","Common stocks","Large cap","Financials","$83,949,231,493","3.08%","USA","Analyze"
"MMC","Marsh & McLennan Inc","Common stocks","Large cap","Financials","$81,613,944,556","1.27%","USA","Analyze"
"DUK","Duke Energy Corp","Common stocks","Large cap","Utilities","$80,818,914,670","3.68%","USA","Analyze"
"PNC","PNC Financial Services Group, Inc.","Common stocks","Large cap","Financials","$80,749,222,563","2.52%","USA","Analyze"
"CSX","CSX Corp","Common stocks","Large cap","Industrials","$79,641,970,712","1.04%","USA","Analyze"
"HCA","HCA Healthcare, Inc.","Common stocks","Large cap","Health Care","$78,730,155,730","0.76%","USA","Analyze"
"TFC","Truist Financial Corporation","Common stocks","Large cap","Financials","$77,825,848,116","3.19%","USA","Analyze"
"CI","Cigna Corp","Common stocks","Large cap","Health Care","$77,401,084,564","1.70%","USA","Analyze"
"ICE","Intercontinental Exchange Inc","Common stocks","Large cap","Financials","$76,917,581,239","1.00%","USA","Analyze"
"LRCX","Lam Research Corp","Common stocks","Large cap","Information Technology","$75,977,357,884","1.06%","USA","Analyze"
"CCI","Crown Castle International Corp.","REITs","Large cap","Real Estate","$75,585,683,652","3.17%","USA","Analyze"
"BDX","Becton Dickinson","Common stocks","Large cap","Health Care","$74,621,413,017","1.29%","USA","Analyze"
"GILD","Gilead Sciences Inc","Common stocks","Large cap","Health Care","$74,505,949,140","4.73%","USA","Analyze"
"TJX","TJX Companies, Inc.","Common stocks","Large cap","Consumer Discretionary","$74,483,326,921","1.66%","USA","Analyze"
"TEAM","Atlassian Plc Class A","Common stocks","Large cap","Information Technology","$73,700,589,348","0.00%","United Kingdom","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$72,517,395,026","0.00%","USA","Analyze"
"SO","Southern Co","Common stocks","Large cap","Utilities","$72,127,214,714","3.82%","USA","Analyze"
"MRNA","Moderna, Inc.","Common stocks","Large cap","Health Care","$72,112,407,249","0.00%","USA","Analyze"
"EW","Edwards Lifesciences Corp","Common stocks","Large cap","Health Care","$70,406,201,114","0.00%","USA","Analyze"
"AON","Aon Plc","Common stocks","Large cap","Financials","$70,149,431,422","0.64%","USA","Analyze"
"FCX","Freeport-McMoRan, Inc.","Common stocks","Large cap","Materials","$69,945,873,124","0.62%","USA","Analyze"
"NSC","Norfolk Southern Corp","Common stocks","Large cap","Industrials","$69,802,695,351","1.60%","USA","Analyze"
"EOG","EOG Resources Inc","Common stocks","Large cap","Energy","$67,788,098,889","1.67%","USA","Analyze"
"NOC","Northrop Grumman Corp","Common stocks","Large cap","Industrials","$66,803,822,655","1.46%","USA","Analyze"
"ITW","Illinois Tool Inc","Common stocks","Large cap","Industrials","$66,443,776,958","2.21%","USA","Analyze"
"EQIX","Equinix, Inc.","REITs","Large cap","Real Estate","$66,431,388,018","1.59%","USA","Analyze"
"FISV","Fiserv Inc","Common stocks","Large cap","Information Technology","$66,425,934,276","0.00%","USA","Analyze"
"F","Ford Motor Company","Common stocks","Large cap","Consumer Discretionary","$66,317,047,725","1.18%","USA","Analyze"
"D","Dominion Energy Inc","Common stocks","Large cap","Utilities","$65,705,764,821","3.11%","USA","Analyze"
"SHW","Sherwin Williams","Common stocks","Large cap","Materials","$65,535,547,386","0.89%","USA","Analyze"
"GM","General Motors","Common stocks","Large cap","Consumer Discretionary","$65,124,416,324","0.00%","USA","Analyze"
"PGR","Progressive Corp","Common stocks","Large cap","Financials","$65,046,854,174","1.70%","USA","Analyze"
"WM","Waste Management Inc","Common stocks","Large cap","Industrials","$64,538,714,391","1.52%","USA","Analyze"
"PSA","Public Storage","REITs","Large cap","Real Estate","$64,129,707,900","2.17%","USA","Analyze"
"GD","General Dynamics Corp","Common stocks","Large cap","Industrials","$63,934,402,942","2.05%","USA","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$63,409,962,194","0.00%","USA","Analyze"
"SNOW","Snowflake Inc. Class A","Common stocks","Large cap","Information Technology","$63,375,423,666","0.00%","USA","Analyze"
"BSX","Boston Scientific Corp","Common stocks","Large cap","Health Care","$63,089,766,765","0.00%","USA","Analyze"
"UBER","Uber Technologies, Inc.","Common stocks","Large cap","Industrials","$62,079,825,594","0.00%","USA","Analyze"
"ETN","Eaton Corporation, PLC","Common stocks","Large cap","Industrials","$62,045,304,000","1.97%","USA","Analyze"
"MCO","Moodys Corp","Common stocks","Large cap","Financials","$61,402,492,275","0.77%","USA","Analyze"
"ATVI","Activision Blizzard Inc","Common stocks","Large cap","Communication Services","$61,372,539,779","0.60%","USA","Analyze"
"CL","Colgate-Palmolive","Common stocks","Large cap","Consumer Staples","$60,683,177,428","2.47%","USA","Analyze"
"MRVL","Marvell Technology Group Ltd","Common stocks","Large cap","Information Technology","$60,473,574,000","0.25%","USA","Analyze"
"SQ","Square Inc Class A","Common stocks","Large cap","Information Technology","$59,772,000,000","0.00%","USA","Analyze"
"COF","Capital One Financial Corp","Common stocks","Large cap","Financials","$58,825,224,636","1.58%","USA","Analyze"
"NEM","Newmont Corporation","Common stocks","Large cap","Materials","$58,616,959,319","2.94%","USA","Analyze"
"FIS","Fidelity National Information Services","Common stocks","Large cap","Information Technology","$58,410,981,545","1.70%","USA","Analyze"
"PXD","Pioneer Natural Resource","Common stocks","Large cap","Energy","$58,258,159,838","1.31%","USA","Analyze"
"EMR","Emerson Electric","Common stocks","Large cap","Industrials","$57,705,300,000","2.09%","USA","Analyze"
"SCCO","Southern Copper Corp","Common stocks","Large cap","Materials","$57,448,085,235","4.75%","Peru","Analyze"
"PANW","Palo Alto Networks Inc","Common stocks","Large cap","Information Technology","$56,827,464,449","0.00%","USA","Analyze"
"FDX","FedEx Corporation","Common stocks","Large cap","Industrials","$56,736,706,110","1.36%","USA","Analyze"
"MET","Metlife Inc","Common stocks","Large cap","Financials","$56,476,605,802","2.77%","USA","Analyze"
"SLB","Schlumberger Nv","Common stocks","Large cap","Energy","$56,139,257,425","1.25%","USA","Analyze"
"MAR","Marriott International Inc","Common stocks","Large cap","Consumer Discretionary","$55,861,199,092","0.00%","USA","Analyze"
"HUM","Humana Inc","Common stocks","Large cap","Health Care","$55,844,357,482","0.63%","USA","Analyze"
"KLAC","KLA-Tencor Corporation","Common stocks","Large cap","Information Technology","$55,018,635,962","1.11%","USA","Analyze"
"ILMN","Illumina Inc","Common stocks","Large cap","Health Care","$54,339,270,000","0.00%","USA","Analyze"
"KDP","Keurig Dr Pepper Inc.","Common stocks","Large cap","Consumer Staples","$53,620,567,705","1.87%","USA","Analyze"
"DG","Dollar General Corp","Common stocks","Large cap","Consumer Discretionary","$53,206,764,514","0.73%","USA","Analyze"
"OXY","Occidental Petroleum Corp","Common stocks","Large cap","Energy","$52,531,758,741","0.28%","USA","Analyze"
"FTNT","Fortinet Inc","Common stocks","Large cap","Information Technology","$51,456,118,257","0.00%","USA","Analyze"
"APD","Air Products And Chemicals Inc","Common stocks","Large cap","Materials","$51,365,267,046","2.57%","USA","Analyze"
"CNC","Centene Corp","Common stocks","Large cap","Health Care","$51,141,455,571","0.00%","USA","Analyze"
"AIG","American International Group Inc","Common stocks","Large cap","Financials","$50,673,063,016","2.08%","USA","Analyze"
"NXPI","NXP Semiconductors Nv","Common stocks","Large cap","Information Technology","$50,517,591,978","1.31%","The Netherlands","Analyze"
"SRE","Sempra Energy","Common stocks","Large cap","Utilities","$49,907,824,852","3.48%","USA","Analyze"
"ROP","Roper Technologies Inc","Common stocks","Large cap","Industrials","$49,479,152,311","0.49%","USA","Analyze"
"ECL","Ecolab Inc","Common stocks","Large cap","Materials","$49,074,657,015","1.15%","USA","Analyze"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$48,717,542,737","0.00%","USA","Analyze"
"VMW","VMWare Inc Class A","Common stocks","Large cap","Information Technology","$48,472,352,493","0.00%","USA","Analyze"
"CTSH","Cognizant Technology Solutions","Common stocks","Large cap","Information Technology","$48,110,334,424","1.07%","USA","Analyze"
"WDAY","Workday Inc","Common stocks","Large cap","Information Technology","$47,745,600,000","0.00%","USA","Analyze"
"LHX","L3Harris Technologies, Inc.","Common stocks","Large cap","Industrials","$47,581,090,809","1.69%","USA","Analyze"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$47,462,721,239","3.19%","USA","Analyze"
"ADM","Archer-Daniels-Midland Company","Common stocks","Large cap","Consumer Staples","$47,210,748,717","1.78%","USA","Analyze"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$46,351,790,854","0.00%","USA","Analyze"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$46,223,793,129","2.04%","USA","Analyze"
"JCI","Johnson Controls International Plc","Common stocks","Large cap","Industrials","$46,110,692,122","1.86%","USA","Analyze"
"KHC","Kraft Heinz","Common stocks","Large cap","Consumer Staples","$46,037,106,437","4.18%","USA","Analyze"
"ORLY","Oreilly Automotive Inc","Common stocks","Large cap","Consumer Discretionary","$45,953,301,402","0.00%","USA","Analyze"
"DOW","Dow Inc.","Common stocks","Large cap","Materials","$45,862,006,369","4.41%","USA","Analyze"
"APH","Amphenol Corp","Common stocks","Large cap","Information Technology","$45,842,850,225","0.82%","USA","Analyze"
"IDXX","Idexx Laboratories Inc","Common stocks","Large cap","Health Care","$45,701,758,649","0.00%","USA","Analyze"
"DXCM","Dexcom Inc","Common stocks","Large cap","Health Care","$45,431,569,994","0.00%","USA","Analyze"
"MCK","Mckesson Corp","Common stocks","Large cap","Health Care","$44,797,204,941","0.61%","USA","Analyze"
"CMG","Chipotle Mexican Grill Inc","Common stocks","Large cap","Consumer Discretionary","$44,507,164,798","0.00%","USA","Analyze"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information technology","$44,060,370,320","0.00%","USA","Analyze"
"MPC","Marathon Petroleum Corp","Common stocks","Large cap","Energy","$43,747,551,629","2.93%","USA","Analyze"
"CRWD","CrowdStrike Holdings, Inc. - Class A","Common stocks","Large cap","Information Technology","$43,704,695,152","0.00%","USA","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Large cap","Financials","$43,544,996,987","1.94%","USA","Analyze"
"IQV","IQVIA Holdings, Inc.","Common stocks","Large cap","Health Care","$43,463,725,519","0.00%","USA","Analyze"
"PRU","Prudential Financial Inc","Common stocks","Large cap","Financials","$43,326,480,000","3.97%","USA","Analyze"
"HSY","Hershey Foods","Common stocks","Large cap","Consumer Staples","$43,029,195,660","1.68%","USA","Analyze"
"SPG","Simon Property Group, Inc","REITs","Large cap","Real Estate","$42,992,468,443","5.61%","USA","Analyze"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$42,972,523,444","0.90%","USA","Analyze"
"MNST","Monster Beverage Corp","Common stocks","Large cap","Consumer Staples","$42,661,030,527","0.00%","USA","Analyze"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$42,390,923,866","2.64%","USA","Analyze"
"HLT","Hilton Worldwide Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$42,370,521,257","0.00%","USA","Analyze"
"STZ","Constellation Brands Class A","Common stocks","Large cap","Consumer Staples","$42,306,048,322","1.34%","USA","Analyze"
"MSCI","MSCI Inc","Common stocks","Large cap","Financials","$42,286,943,769","0.75%","USA","Analyze"
"BK","Bank Of New York Mellon Corp","Common stocks","Large cap","Financials","$42,211,656,038","2.52%","USA","Analyze"
"A","Agilent Technologies Inc","Common stocks","Large cap","Health Care","$41,786,933,223","0.57%","USA","Analyze"
"SYY","Sysco Corp","Common stocks","Large cap","Consumer Staples","$41,648,201,305","2.27%","USA","Analyze"
"RSG","Republic Services Inc","Common stocks","Large cap","Industrials","$41,607,558,080","1.34%","USA","Analyze"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$41,531,411,453","0.90%","USA","Analyze"
"WELL","Welltower Inc","REITs","Large cap","Real Estate","$41,225,764,603","2.62%","USA","Analyze"
"GFS","GlobalFoundries Inc","Common stocks","Large cap","Information Technology","$41,053,144,475","0.00%","USA","Analyze"
"KR","Kroger","Common stocks","Large cap","Consumer Staples","$41,041,965,582","1.44%","USA","Analyze"
"AFL","Aflac Inc","Common stocks","Large cap","Financials","$40,908,742,081","2.19%","USA","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Large cap","Consumer Staples","$40,884,563,199","3.95%","USA","Analyze"
"CARR","Carrier Global Corporation","Common stocks","Large cap","Industrials","$40,756,655,014","1.06%","USA","Analyze"
"KMB","Kimberly Clark Corp","Common stocks","Large cap","Consumer Staples","$40,717,794,844","3.74%","USA","Analyze"
"RIVN","Rivian Automotive, Inc.  Class A","Common stocks","Large cap","Consumer Discretionary","$40,697,651,525","0.00%","USA","Analyze"
"CTVA","Corteva, Inc.","Common stocks","Large cap","Materials","$40,604,122,850","0.98%","USA","Analyze"
"ANET","Arista Networks Inc","Common stocks","Large cap","Information Technology","$40,394,363,363","0.00%","USA","Analyze"
"AZO","Autozone Inc","Common stocks","Large cap","Consumer Discretionary","$40,293,816,789","0.00%","USA","Analyze"
"BAX","Baxter International Inc","Common stocks","Large cap","Health Care","$39,614,865,052","1.41%","USA","Analyze"
"O","Realty Income Corporation","REITs","Large cap","Real Estate","$39,547,518,585","4.21%","USA","Analyze"
"DLR","Digital Realty Trust, Inc","REITs","Large cap","Real Estate","$39,443,618,509","3.34%","USA","Analyze"
"KMI","Kinder Morgan Inc","Common stocks","Large cap","Energy","$39,363,531,910","6.08%","USA","Analyze"
"DD","DuPont de Nemours, Inc.","Common stocks","Large cap","Materials","$39,345,133,098","1.59%","USA","Analyze"
"LULU","Lululemon Athletica Inc","Common stocks","Large cap","Consumer Discretionary","$39,328,129,888","0.00%","USA","Analyze"
"MSI","Motorola Solutions Inc","Common stocks","Large cap","Information Technology","$39,207,856,555","1.28%","USA","Analyze"
"HPQ","HP Inc","Common stocks","Large cap","Information Technology","$39,069,337,522","2.37%","USA","Analyze"
"DVN","Devon Energy Corp","Common stocks","Large cap","Energy","$38,702,934,000","3.50%","USA","Analyze"
"DDOG","Datadog, Inc. - Class A","Common stocks","Large cap","Information Technology","$38,522,735,342","0.00%","USA","Analyze"
"WMB","Williams Inc","Common stocks","Large cap","Energy","$38,242,549,205","5.15%","USA","Analyze"
"RMD","Resmed Inc","Common stocks","Large cap","Health Care","$38,235,867,779","0.63%","USA","Analyze"
"GPN","Global Payments Inc","Common stocks","Large cap","Information Technology","$38,027,292,345","0.70%","USA","Analyze"
"ODFL","Old Dominion Freight Line Inc","Common stocks","Large cap","Industrials","$37,709,786,525","0.27%","USA","Analyze"
"GIS","General Mills Inc","Common stocks","Large cap","Consumer Staples","$37,646,130,147","3.24%","USA","Analyze"
"DELL","Dell Technologies Inc. Class C","Common stocks","Large cap","Information Technology","$37,524,920,000","2.55%","USA","Analyze"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$37,436,462,487","2.68%","USA","Analyze"
"PH","Parker-Hannifin Corp","Common stocks","Large cap","Industrials","$37,308,620,137","1.41%","USA","Analyze"
"ALL","Allstate Corp","Common stocks","Large cap","Financials","$37,159,199,010","2.43%","USA","Analyze"
"TT","Trane Technologies plc","Common stocks","Large cap","Industrials","$37,067,165,804","1.53%","USA","Analyze"
"VLO","Valero Energy Corp","Common stocks","Large cap","Energy","$37,023,554,170","4.26%","USA","Analyze"
"TDG","Transdigm Group Inc","Common stocks","Large cap","Industrials","$36,680,401,890","0.00%","USA","Analyze"
"NUE","Nucor Corp","Common stocks","Large cap","Materials","$36,644,041,346","1.25%","USA","Analyze"
"BKR","Baker Hughes Company Class A","Common stocks","Large cap","Energy","$36,533,619,600","0.51%","USA","Analyze"
"SBAC","SBA Communications Corporation","REITs","Large cap","Real Estate","$35,681,469,912","0.74%","USA","Analyze"
"EA","Electronic Arts Inc","Common stocks","Large cap","Communication Services","$35,512,748,003","0.54%","USA","Analyze"
"DLTR","Dollar Tree Inc","Common stocks","Large cap","Consumer Discretionary","$35,380,590,409","0.00%","USA","Analyze"
"YUM","Yum Brands Inc","Common stocks","Large cap","Consumer Discretionary","$35,252,789,994","1.69%","USA","Analyze"
"AJG","Arthur J Gallagher","Common stocks","Large cap","Financials","$34,903,674,540","1.16%","USA","Analyze"
"ALGN","Align Technology Inc","Common stocks","Large cap","Health Care","$34,896,160,428","0.00%","USA","Analyze"
"KKR","KKR & Co Inc.","Common stocks","Large cap","Financials","$34,790,498,789","0.97%","USA","Analyze"
"PSX","Phillips 66","Common stocks","Large cap","Energy","$34,533,234,356","4.54%","USA","Analyze"
"AVB","AvalonBay Communities, Inc","REITs","Large cap","Real Estate","$34,292,465,015","2.57%","USA","Analyze"
"DASH","DoorDash Inc","Common stocks","Large cap","Consumer Discretionary","$34,081,741,400","0.00%","USA","Analyze"
"NET","Cloudflare, Inc. Class A","Common stocks","Large cap","Information Technology","$33,753,832,000","0.00%","USA","Analyze"
